#DEF:GEOROUTING:VERSION;VERSIONNUMBER;VALIDFROM;VALIDTO;BARCODEID;;
#DEF:GEOROUTING:COUNTRY;COUNTRYCODE;ISONUMCOUNTRYCODE;ISOALPHA3COUNTRYCODE;DESTINATIONLANGUAGES;FLAGPOSTCODENO;POSTCODEPATTERN;FLAGNEEDSTATE;POSTCODEVALIDATION;CITYVALIDATION;FREETRADEAREA;DUMMYCOUNTRYCODE;;
#DEF:GEOROUTING:COUNTRYTRANSLATION;COUNTRYCODE;BEGINPOSTCODE;ENDPOSTCODE;DUMMYCOUNTRYCODE;;
#DEF:GEOROUTING:COUNTRY.CS;COUNTRYCODE;NAME;;
#DEF:GEOROUTING:COUNTRY.DE;COUNTRYCODE;NAME;;
#DEF:GEOROUTING:COUNTRY.EN;COUNTRYCODE;NAME;;
#DEF:GEOROUTING:COUNTRY.FR;COUNTRYCODE;NAME;;
#DEF:GEOROUTING:COUNTRY.IT;COUNTRYCODE;NAME;;
#DEF:GEOROUTING:COUNTRY.SK;COUNTRYCODE;NAME;;
#DEF:GEOROUTING:BUSINESSUNIT;BUALPHASTR;BUCODE;BUNAME;BUDEFAULTCOUNTRY;TYPEOFBU;BUFINANCIALGROUP;BUGEOGRAPHGROUP;BUTECHNICALGROUP;DPDCONTRACT;;
#DEF:GEOROUTING:POSTALCODE;COUNTRYCODE;BEGINPOSTCODE;ENDPOSTCODE;POSTCODETYPE;;
#DEF:GEOROUTING:STATE;COUNTRYCODE;REGIONCODE;STATECODE;;
#DEF:GEOROUTING:STATE.EN;COUNTRYCODE;REGIONCODE;STATECODE;STATESHORTCUT;STATENAME;;
#DEF:GEOROUTING:CITY;COUNTRYCODE;BEGINPOSTCODE;ENDPOSTCODE;CITYNAMEENGLISH;CITYNAMELOCAL;CITYNAMELOCALLANG;STATECODE;;
#DEF:GEOROUTING:DEPOTS;GEOPOSTDEPOTNUMBER;DEPOTSTR;IATALIKECODE;GROUPID;COMPANYNAME;COMPANYNAME2;STREET;PROPNUM;ADDRESS2;ADDRESS3;FLOOR;BUILDING;COUNTRYCODE;STATE;POSTCODE;CITYNAME;PHONE;FAX;MAIL;WEB;BUCODE;SGPSLAT;SGPSLONG;DUMMYDEPOT;ADDRESSPOSTCODE;;
#DEF:GEOROUTING:ELEMENTS;ELEMENTCODE;ELEMENTSHORTCUT;ELEMENTTYPE;;
#DEF:GEOROUTING:ELEMENTS.DE;ELEMENTCODE;ELEMENTDESCRIPTION;;
#DEF:GEOROUTING:ELEMENTS.EN;ELEMENTCODE;ELEMENTDESCRIPTION;;
#DEF:GEOROUTING:ELEMENTS.FR;ELEMENTCODE;ELEMENTDESCRIPTION;;
#DEF:GEOROUTING:ELEMENTS.PT;ELEMENTCODE;ELEMENTDESCRIPTION;;
#DEF:GEOROUTING:SOCODE;SOCODE;SERVICETEXT;SERVICEMARK;ELEMENTCODES;ASCODENEEDED;;
#DEF:GEOROUTING:ASCODE;ASCODE;SERVICETEXT;ELEMENTCODES;;
#DEF:GEOROUTING:IC;INJECTIONCODE;GEOPOSTDEPOTNUMBER;DESCRIPTION;;
#DEF:GEOROUTING:NETWORK;NETWORKCODE;BUCODE;COUNTRYCODE;NETWORKNAME;;
#DEF:GEOROUTING:NETWORKPLAN;NETWORKPLANID;SOCODELIST;SOASCODELIST;FULLNETWORKPLAN;PRIORITY;;
#DEF:GEOROUTING:RCODE;RCODE;BUCODE;GEOPOSTDEPOTNUMBER;COMPANYNAME1;COMPANYNAME2;STREET;FLOOR;ADDRESS2;ADDRESS3;POSTCODE;CITYNAME;COUNTRYCODE;PHONE;FAX;MAIL;RACOMPANYNAME1;RACOMPANYNAME2;RASTREET;RAADDRESS2;RAADDRESS3;RADEPARTMENT;RABUILDING;RAFLOOR;RAPOSTCODE;RACITYNAME;RACOUNTRYCODE;RAGPSLOCATION;SOCODE;;
#DEF:GEOROUTING:SOSERVICEINFO.CS;SOCODE;SOFIELDINFO;;
#DEF:GEOROUTING:SOSERVICEINFO.DE;SOCODE;SOFIELDINFO;;
#DEF:GEOROUTING:SOSERVICEINFO.EN;SOCODE;SOFIELDINFO;;
#DEF:GEOROUTING:SOSERVICEINFO.ET;SOCODE;SOFIELDINFO;;
#DEF:GEOROUTING:SOSERVICEINFO.FR;SOCODE;SOFIELDINFO;;
#DEF:GEOROUTING:ALLOWSO;RULEFROM;RULESERVICE;RULETO;ZONETO;UNIQUEALLOWID;;
#DEF:GEOROUTING:ALLOWAS;UNIQUEALLOWID;RULESERVICE;ZONETO;;
#DEF:GEOROUTING:R1DBU;ROUTINGPLACES;TRADESTATUS;DESTINATIONCOUNTRYCODE;BEGINPOSTCODE;ENDPOSTCODE;NETWORKPLANID;PRIORITY;BUCODE;;
#DEF:GEOROUTING:R2ROUTE;ROUTINGPLACES;BUCODE;DESTINATIONCOUNTRYCODE;TRADESTATUS;BEGINPOSTCODE;ENDPOSTCODE;NETWORKPLANID;PRIORITY;DDEPOT;SSORT;PARTNERCODE;;
#DEF:GEOROUTING:R3OSORT;ROUTINGPLACES;DESTINATIONCOUNTRYCODE;DDEPOT;BEGINPOSTCODE;ENDPOSTCODE;NETWORKPLANID;PRIORITY;OSORT;;
#DEF:GEOROUTING:R4CSORT;ROUTINGPLACES;DESTINATIONCOUNTRYCODE;DDEPOT;NETWORKPLANID;PRIORITY;CSORT;;
#DEF:GEOROUTING:R5DSORT;ROUTINGPLACES;DDEPOT;DESTINATIONCOUNTRYCODE;BEGINPOSTCODE;ENDPOSTCODE;NETWORKPLANID;PRIORITY;DSORT;;
#DEF:GEOROUTING:DEKSFO;SCANTYPE;GEOPOSTDEPOTNUMBERSTART;GEOPOSTDEPOTNUMBERSTOP;ROUTESTART;ROUTESTOP;TOURSTART;TOURSTOP;NEWSCANTYPE;NEWGEOPOSTDEPOTNUMBER;NEWROUTE;NEWTOUR;COPYFLAG;DIFFERENCECODE;PSNSTART;PSNSTOP;;
#DEF:GEOROUTING:DEPARTURE;GEOPOSTDEPOTNUMBER;RELATION;MONDAY;TUESDAY;WEDNESDAY;THURSDAY;FRIDAY;SATURDAY;SUNDAY;;
#DEF:GEOROUTING:RELATION;GEOPOSTDEPOTNUMBER;ROUTE;RELATION;;
#DEF:GEOROUTING:PRODUCT_TRANSFORMATION;SOURCESERVICEELEMENT;DESTINATIONSERVICEELEMENTS;;
#DEF:GEOROUTING:SETTINGS;CATEGORY;VAL1;VAL2;;
#DEF:GEOROUTING:P0PROPERTIES;OBU;RULEFROM;RULESOCODE;RULEASCODE;RULESERVICEELEMENT;RULETO;ZONETO;PRIORITY;PROPERTY;VALUE;;
#DEF:GEOROUTING:PICKUP_CUTOFF;PICKUPCOUNTRY;PICKUPPOSTCODE;PICKUPCITY;SENDINGDEPOT;AVISCUTOFFTIME;PICKUPCUTOFFTIME;AVISCUTOFFTIMECLASSIC;;
#DEF:GEOROUTING:PICKUP_CUTOFF_CLASSIC_DEPOT;PICKUPCOUNTRY;PICKUPCITY;SENDINGDEPOT;AVISCUTOFFTIME;PICKUPCUTOFFTIME;;
#DEF:GEOROUTING:SERVICESELECTION;OBU;SOCODE;ASCODE;MANDATORY_NOPS;OPTIONAL_NOPS;;
#DEF:GEOROUTING:CALLOW;REQUESTINGBU;SOCODELIST;SOASCODELIST;COLLECTIONBU;ZONETO;;
#DEF:GEOROUTING:C1CBU;REQUESTINGBULIST;CCOUNTRY;BEGINPOSTCODE;ENDPOSTCODE;SOCODELIST;SOASCODELIST;PRIORITY;CBU;;
#DEF:GEOROUTING:C2CDEPOT;CBU;CCOUNTRY;BEGINPOSTCODE;ENDPOSTCODE;SOCODELIST;SOASCODELIST;PRIORITY;CDEPOT;;
#DEF:GEOROUTING:NONWORKINGDAY;COUNTRY;BU;DEPOT;POSTCODE;CITY;TYPE;SOCODELIST;SOASCODELIST;PRIORITY;DATE;NAME_LOCAL;NAME_EN;;
#DEF:GEOROUTING:SERVICES;LANGUAGE;SERVICENAME;STATUS;SERVELTSHORTCUT;SERVELTLIST;SERVELT-SO1;SERVELT-SO2;SERVELT-SO3;SERVELT-SO4;SERVELT-SO5;SERVELT-AS1;SERVELT-AS2;SERVELT-AS3;SERVELT-AS4;SERVELT-AS5;SERVELT-AS6;NOPS1;NOPS2;NOPS3;NOPS4;SOLIST;ASLIST;NOPSLIST;SOCODE;ASCODE;;
#DEF:GEOROUTING:CARRIER_SELECTION;EXPORTGATEWAYDEPOT;DESTINATIONCOUNTRY;SOCODE;WEIGHTRANGE;PARCELCOUNTRANGE;DESTINATIONPOSTALCODERANGE;CUSTOMERCODE;ACTIVATIONDATE;CARRIER;CARRIERDEPOT;;
#DEF:GEOROUTING:CARRIER_DESTINATION_SERVICE;ORIGINCOUNTRY;ORIGINBU;DESTINATIONCOUNTRY;SOCODE;EXPORTGATEWAYDEPOT;;
#DEF:GEOROUTING:ZONE_TO_GROUP;NAME;DESCRIPTION;COUNTRYCODE;ZONETOGROUPRANGE;;
COUNTRY;AD;020;AND;FR,ES,CA;0;,AANNN,NNN;0;NO;NO;;;
COUNTRY;AE;784;ARE;AR;1;;0;NO;NO;;;
COUNTRY;AF;004;AFG;EN;0;,NNNN;0;VI;NO;;;
COUNTRY;AG;028;ATG;EN;1;;0;VI;NO;;;
COUNTRY;AI;660;AIA;EN;1;;0;VI;NO;;;
COUNTRY;AL;008;ALB;SQ;0;,NNNN;0;VI;NO;;;
COUNTRY;AM;051;ARM;HY;0;NNNN;0;VI;NO;;;
COUNTRY;AN;530;ANT;NL;1;;0;VI;NO;;;
COUNTRY;AO;024;AGO;PT;1;;0;VI;NO;;;
COUNTRY;AQ;010;ATA;EN;1;;0;VI;NO;;;
COUNTRY;AR;032;ARG;ES;0;,NNNN,BNNNNBBB,BNNNN;0;VI;NO;;;
COUNTRY;AS;016;ASM;EN;0;NNNNN;0;VI;NO;;;
COUNTRY;AT;040;AUT;DE;0;NNNN;0;VB;NO;EU;;
COUNTRY;AU;036;AUS;EN;0;,NNNN;0;NO;NO;;;
COUNTRY;AW;533;ABW;EN;1;;0;VI;NO;;;
COUNTRY;AX;248;ALA;SV;0;NNNNN;0;VI;NO;;;
COUNTRY;AZ;031;AZE;AZ;0;AANNNN,NNNN;0;VI;NO;;;
COUNTRY;BA;070;BIH;BS,HR,SR;0;NNNNN;0;VI;NO;;;
COUNTRY;BB;052;BRB;EN;0;,AANNNNN;0;VI;NO;;;
COUNTRY;BD;050;BGD;BN,EN;0;,NNNN;0;NO;NO;;;
COUNTRY;BE;056;BEL;FR,NL,DE;0;NNNN;0;VB;NO;EU;;
COUNTRY;BF;854;BFA;FR;1;;0;VI;NO;;;
COUNTRY;BG;100;BGR;BG;0;NNNN;0;VB;NO;EU;;
COUNTRY;BH;048;BHR;AR;0;,NNN;0;VI;NO;;;
COUNTRY;BI;108;BDI;FR,RN;1;;0;NO;NO;;;
COUNTRY;BJ;204;BEN;FR;1;;0;NO;NO;;;
COUNTRY;BL;652;BLM;FR;0;NNNNN;0;VB;NO;;;
COUNTRY;BM;060;BMU;EN;0;,AANN;0;VI;NO;;;
COUNTRY;BO;068;BOL;ES,AY,QU;1;;0;VI;NO;;;
COUNTRY;BQ;535;BES;NL;1;;0;VI;NO;;;
COUNTRY;BR;076;BRA;PT;0;,NNNNNOOO,NNNNN;0;NO;NO;;;
COUNTRY;BS;044;BHS;EN;1;;0;VI;NO;;;
COUNTRY;BT;064;BTN;DZ;0;,NNNNN;0;VI;NO;;;
COUNTRY;BV;074;BVT;NO,EN;1;;0;VI;NO;;;
COUNTRY;BW;072;BWA;EN;1;;0;VI;NO;;;
COUNTRY;BY;112;BLR;BE,RU;0;NNNNNN;0;VI;NO;;;
COUNTRY;BZ;084;BLZ;EN;1;;0;VI;NO;;;
COUNTRY;CA;124;CAN;EN,FR;0;ANANAN;1;NO;NO;;;
COUNTRY;CC;166;CCK;EN;0;,NNNN;0;VI;NO;;;
COUNTRY;CD;180;COD;FR;1;;0;NO;NO;;;
COUNTRY;CF;140;CAF;FR,SG;1;;0;NO;NO;;;
COUNTRY;CG;178;COG;FR,LN;1;;0;VI;NO;;;
COUNTRY;CH;756;CHE;DE,FR,IT;0;NNNN;0;VB;NO;;;
COUNTRY;CI;384;CIV;FR;1;;0;VI;NO;;;
COUNTRY;CK;184;COK;EN;1;;0;VI;NO;;;
COUNTRY;CL;152;CHL;ES;0;,NNNNNNN;0;NO;NO;;;
COUNTRY;CM;120;CMR;FR,EN;1;;0;NO;NO;;;
COUNTRY;CN;156;CHN;ZH;0;NNNNNN;0;NO;NO;;;
COUNTRY;CO;170;COL;ES;0;,NNNNNN,NNNNNNOOO;0;VI;NO;;;
COUNTRY;CR;188;CRI;ES;0;,NNNNN;0;VI;NO;;;
COUNTRY;CU;192;CUB;ES;0;,NNNNN;0;VI;NO;;;
COUNTRY;CV;132;CPV;PT;0;,NNNN;0;NO;NO;;;
COUNTRY;CW;531;CUW;EN,NL;1;;0;VI;NO;;;
COUNTRY;CX;162;CXR;EN;0;,NNNN;0;VI;NO;;;
COUNTRY;CY;196;CYP;EL,TR;0;NNNN;0;VI;NO;EU;;
COUNTRY;CZ;203;CZE;CS;0;NNNNN;0;VB;NO;EU;;
COUNTRY;DE;276;DEU;DE;0;NNNNN;0;VB;NO;EU;;
COUNTRY;DJ;262;DJI;FR,AR,AA;1;;0;NO;NO;;;
COUNTRY;DK;208;DNK;DA;0;NNNN;0;VB;NO;EU;;
COUNTRY;DM;212;DMA;EN;1;;0;VI;NO;;;
COUNTRY;DO;214;DOM;ES;0;,NNNNN;0;VI;NO;;;
COUNTRY;DZ;012;DZA;FR;0;NNNNN;0;NO;NO;;;
COUNTRY;EC;218;ECU;ES,QU;0;,NNNNNN;0;VI;NO;;;
COUNTRY;EE;233;EST;ET;0;NNNNN;0;VB;NO;EU;;
COUNTRY;EG;818;EGY;AR;0;,NNNNN;0;VI;NO;;;
COUNTRY;EH;732;ESH;AR,ES,FR;0;,NNNNN;0;VI;NO;;;
COUNTRY;ER;232;ERI;AR,TI,EN;1;;0;VI;NO;;;
COUNTRY;ES;724;ESP;ES;0;NNNNN;0;VB;NO;EU;;
COUNTRY;ET;231;ETH;AM;0;,NNNN;0;VI;NO;;;
COUNTRY;FI;246;FIN;FI,SV;0;NNNNN;0;VB;NO;EU;;
COUNTRY;FJ;242;FJI;EN;1;;0;VI;NO;;;
COUNTRY;FK;238;FLK;EN;0;,AAAANAA;0;VI;NO;;;
COUNTRY;FM;583;FSM;EN;0;NNNNN;0;VI;NO;;;
COUNTRY;FO;234;FRO;FO;0;NNN;0;VI;NO;;;
COUNTRY;FR;250;FRA;FR;0;NNNNN;0;VB;NO;EU;;
COUNTRY;GA;266;GAB;FR;1;;0;NO;NO;;;
COUNTRY;GB;826;GBR;EN;0;ANNAA,A??NAA,AAN?NAA;0;VB;NO;;;
COUNTRY;GD;308;GRD;EN;1;;0;VI;NO;;;
COUNTRY;GE;268;GEO;KA;0;,NNNN;0;VI;NO;;;
COUNTRY;GF;254;GUF;FR,EN;0;NNNNN;0;VI;NO;;;
COUNTRY;GG;831;GGY;EN;0;ANNAA,A??NAA,AAN?NAA;0;VI;NO;;;
COUNTRY;GH;288;GHA;EN;0;,ANNN,ANNNN,ANNNNN;0;NO;NO;;;
COUNTRY;GI;292;GIB;ES,EN;1;;0;VI;NO;;;
COUNTRY;GL;304;GRL;DA;0;NNNN;0;VI;NO;;;
COUNTRY;GM;270;GMB;EN;1;;0;NO;NO;;;
COUNTRY;GN;324;GIN;FR;0;,NNN,NNNBBO,NNNBBOO,NNNBBOOO,NNNBBOOOO;0;NO;NO;;;
COUNTRY;GP;312;GLP;FR;0;NNNNN;0;VI;NO;;;
COUNTRY;GQ;226;GNQ;ES,FR;1;;0;NO;NO;;;
COUNTRY;GR;300;GRC;EL,EN;0;NNNNN;0;VB;NO;EU;;
COUNTRY;GS;239;SGS;EN;0;,AAAANAA;0;VI;NO;;;
COUNTRY;GT;320;GTM;ES;0;,NNNNN;0;VI;NO;;;
COUNTRY;GU;316;GUM;EN;0;NNNNN;0;VI;NO;;;
COUNTRY;GW;624;GNB;PT;0;,NNNN;0;VI;NO;;;
COUNTRY;GY;328;GUY;EN;1;;0;VI;NO;;;
COUNTRY;HK;344;HKG;EN,ZH;1;;0;VI;NO;;;
COUNTRY;HM;334;HMD;EN;1;;0;VI;NO;;;
COUNTRY;HN;340;HND;ES;0;,NNNNN;0;VI;NO;;;
COUNTRY;HR;191;HRV;HR;0;NNNNN;0;VB;NO;EU;;
COUNTRY;HT;332;HTI;FR,HT;0;,AANNNN,NNNN;0;VI;NO;;;
COUNTRY;HU;348;HUN;HU,EN;0;NNNN;0;VB;NO;EU;;
COUNTRY;IC;991;ISC;ES;0;NNNNN;0;VI;NO;;;
COUNTRY;IE;372;IRL;EN,GA;0;N,A??????;0;VB;NO;EU;;
COUNTRY;IL;376;ISR;AR,HE;0;,NNNNN,NNNNNNN;0;NO;NO;;;
COUNTRY;IM;833;IMN;EN;0;ANNAA,A??NAA,AAN?NAA;0;VI;NO;;;
COUNTRY;IN;356;IND;EN,HI;0;NNNNNN;0;VI;NO;;;
COUNTRY;IO;086;IOT;EN;0;,AAAANAA;0;VI;NO;;;
COUNTRY;IQ;368;IRQ;AR,KU;0;,NNNNN;0;VI;NO;;;
COUNTRY;IR;364;IRN;FA;0;,NNNNNOOOOO,NNNNN;0;NO;NO;;;
COUNTRY;IS;352;ISL;IS,EN;0;NNN;0;VI;NO;;;
COUNTRY;IT;380;ITA;IT;0;NNNNN;0;VB;NO;EU;;
COUNTRY;JE;832;JEY;EN;0;ANNAA,A??NAA,AAN?NAA;0;VI;NO;;;
COUNTRY;JM;388;JAM;EN;1;;0;VI;NO;;;
COUNTRY;JO;400;JOR;AR;1;;0;VI;NO;;;
COUNTRY;JP;392;JPN;JA,EN;0;NNNNNNN;0;NO;NO;;;
